longitude,latitude,Country name
116.4447222,39.84555556,China
117.7252778,27.72638889,China
105.705,29.70111,China
103.60528,31.00167,China
117.9875,29.90444444,China
112.4666667,34.46666667,China
124.7938889,41.70722222,China
113.12222,40.10972,China
98.40638889,27.895,China
126.1872222,41.15694444,China
113.5364611,22.19129194,China
114.3138889,36.12666667,China
103,30.83333333,China
112.5658611,22.28551944,China
110.3544444,24.92333333,China
117.6858333,25.02305556,China
118.0644444,28.91583333,China
113.5633333,39.03055556,China
113.0677194,34.45874722,China
106.0425,28.42194444,China
120.1408333,30.2375,China
102.9772222,24.66888889,China
116.1851278,42.358,China
102.7799806,23.09327778,China
80.35416667,41.96833333,China
112.4683333,34.69388889,China
109.9669444,28.99861111,China
107.0230556,22.25555556,China
110.2077778,31.46972222,China
92.43916667,35.38027778,China
118.0619444,24.4475,China
108.68,27.89555556,China
119.9908333,30.39555556,China
121.0168139,32.93194444,China
118.4441667,24.71027778,China
-75.53333333,10.41666667,Colombia
-77.146271,7.803975,Colombia
-74.423084,9.240492,Colombia
-76.03333333,2.583333333,Colombia
-76.23333333,1.916666667,Colombia
-81.607572,4.003344,Colombia
-75.773082,4.889476,Colombia
-72.79722222,0.525277778,Colombia
-87.06666667,5.533333333,Costa Rica
-85.61666667,10.85,Costa Rica
-83.502539,8.938453,Costa Rica
-7.095277778,5.648888889,Côte d'Ivoire
-4,9,Côte d'Ivoire
-3.736388889,5.195833333,Côte d'Ivoire
-6.410166667,10.49031667,Côte d'Ivoire
18.10886111,42.64142111,Croatia
16.44333,43.50944,Croatia
15.61444,44.87778,Croatia
13.59444,45.22917,Croatia
16.25167,43.5125,Croatia
15.89038,43.73629,Croatia
16.63861111,43.18166667,Croatia
-82.35,23.13333333,Cuba
-79.98444444,21.80305556,Cuba
-75.870441,19.968446,Cuba
-83.71667,22.61667,Cuba
-77.63333,19.88333,Cuba
-75.39138889,20.03,Cuba
-75,20.45,Cuba
-80.452183,22.145887,Cuba
-77.91861111,21.37861111,Cuba
32.40556,34.75833,Cyprus
33.09583333,34.92027778,Cyprus
33.34333,34.79833,Cyprus
14.41944,50.08972,Czechia
14.31666667,48.81666667,Czechia
15.45,49.18333,Czechia
15.94205833,49.5802,Czechia
15.26666667,49.95,Czechia
16.775,48.77583,Czechia
17.37722222,49.3,Czechia
14.25277778,48.95972222,Czechia
16.31444,49.87361,Czechia
17.25045833,49.59393611,Czechia
16.61605556,49.20718333,Czechia
15.87888889,49.21722222,Czechia
15.48425833,50.05665,Czechia
125.415,38.86305556,Democratic People's Republic of Korea
126.5080556,37.98166667,Democratic People's Republic of Korea
29.16666667,0.916666667,Democratic Republic of the Congo
29.25,4,Democratic Republic of the Congo
28.180743,-2.334053,Democratic Republic of the Congo
21,-2,Democratic Republic of the Congo
28.5,2,Democratic Republic of the Congo
9.42,55.75638889,Denmark
12.07972222,55.64222222,Denmark
12.62083333,56.03889,Denmark
-49.5,69.13333333,Denmark
12.42333333,55.26722222,Denmark
9.481388889,55.35555556,Denmark
12.35777778,55.91361111,Denmark
-45.59805556,61.16444444,Denmark
-51.43320556,67.06393056,Denmark
-61.30661,15.331113,Dominica
-69.885841,18.472394,Dominican Republic
-90.501319,-0.68986,Ecuador
-78.51208333,-0.22,Ecuador
-78.33333,-1.83333,Ecuador
-79.004382,-2.897447,Ecuador
31.13041,29.97604,Egypt
32.6,25.73333,Egypt
31.62580556,22.33722222,Egypt
31.26111,30.05,Egypt
29.66666667,30.83583333,Egypt
33.97543,28.55623,Egypt
30.18333,29.33333,Egypt
-89.36916667,13.8275,El Salvador
38.93583333,15.33527778,Eritrea
24.73333333,59.43333,Estonia
38.06666667,13.18333333,Ethiopia
39.04042,12.02935,Ethiopia
37.4697,12.607909,Ethiopia
40.57939,11.10006,Ethiopia
38.6121,8.43491,Ethiopia
38.71861,14.13019,Ethiopia
35.96666667,4.8,Ethiopia
42.13777778,9.308888889,Ethiopia
37.4,5.3,Ethiopia
178.8345333,-17.68337778,Fiji
21.51167,61.12806,Finland
24.98722,60.14722,Finland
25.18333,62.25,Finland
26.64083,61.06194,Finland
21.7775,61.12056,Finland
-1.51056,48.63556,France
1.487222222,48.4475,France
2.119444444,48.805,France
3.748333333,47.46638889,France
1.17,45.0575,France
2.698055556,48.40194444,France
2.301666667,49.895,France
4.808416667,44.13572222,France
4.630694444,43.67763889,France
4.38911,47.63944,France
5.876388889,46.9375,France
6.183333333,48.69361111,France
0.86611,46.56472,France
8.628833333,42.32519444,France
4.535277778,43.94722222,France
7.748888889,48.58444444,France
2.294166667,48.85833333,France
4.032777778,49.25333333,France
2.398333333,47.08222222,France
4.806111111,43.95277778,France
1.416388889,43.61138889,France
2.358888889,43.21055556,France
0.722944444,45.18405556,France
4.83333,45.76722,France
-0.155277778,44.89472222,France
0.70278,47.39889,France
3.298888889,48.55972222,France
0.1075,49.49278,France
-0.572222222,44.83888889,France
164.5663889,-20.41194444,France
6.026944444,47.23611111,France
55.48,-21.09944444,France
2.1425,43.92833333,France
3.473055556,44.22027778,France
3.546111111,50.4625,France
4.416111111,44.3875,France
4.864444444,47.05805556,France
3.946111111,49.0775,France
-151.3723778,-16.8414,France
2.965111111,45.77938889,France
69.35280556,-49.38036111,France
-1.173333333,45.58630556,France
7.272305556,43.70169444,France
11.5,-0.5,Gabon
12.64083333,0.406111111,Gabon
-16.35719444,13.31616667,Gambia (the)
44.71639,41.84389,Georgia
42.76833333,42.29472222,Georgia
43.01139,42.91639,Georgia
41.9512,41.70227778,Georgia
6.084444444,50.77444444,Germany
8.443055556,49.31666667,Germany
9.93889,49.79278,Germany
10.90013889,47.68127778,Germany
6.909777778,50.82502778,Germany
9.94389,52.15278,Germany
6.633333333,49.75,Germany
10.69167,53.86667,Germany
13.03333333,52.4,Germany
8.56858,49.65369,Germany
